timeStamp     linear.x           linear.y                 linear.z                      angular.x                            angular.y                                  angular.z
  0.00         0.00               0.00                     0.00                           0.00                                 0.00                                       0.00
 10.00         0.10               0.00                     0.00                           0.00                                 0.00                                      -0.10
 20.00         0.10               0.00                     0.00                           0.00                                 0.00                                      -0.10
 30.00         0.10               0.00                     0.00                           0.00                                 0.00                                      -0.10
 40.00         0.10               0.00                     0.00                           0.00                                 0.00                                      -0.10
 50.00         0.10               0.00                     0.00                           0.00                                 0.00                                      -0.10
 60.00         0.10               0.00                     0.00                           0.00                                 0.00                                      -0.10
 70.00         0.10               0.00                     0.00                           0.00                                 0.00                                      -0.10
 80.00         0.10               0.00                     0.00                           0.00                                 0.00                                      -0.10
 90.00         0.10               0.00                     0.00                           0.00                                 0.00                                      -0.10
100.00         0.10               0.00                     0.00                           0.00                                 0.00                                      -0.10
110.00         0.10               0.00                     0.00                           0.00                                 0.00                                      -0.10
